edm_id,date_tabled,is_prayer,title,tabler_id,tabler_name,sponsor_count,sponsor_ids,sponsor_names
65659,2026-04-22,no,Victims of the Pahalgam terrorist attack,4591,Sarah Olney,9,4591;5335;4602;5207;4131;5343;5299;5296;5078,Sarah Olney;Jess Brown-Fuller;Wera Hobhouse;Clive Jones;Jim Shannon;Mr Joshua Reynolds;Monica Harding;Freddie van Mierlo;Pippa Heylings
65658,2026-04-22,no,Performance of As You Like It by Shropshire Youth Theatre at Soulton Hall,4934,Helen Morgan,5,4934;5207;4131;5078;5032,Helen Morgan;Clive Jones;Jim Shannon;Pippa Heylings;Tom Gordon
65656,2026-04-22,no,Plough on the Green's fundraising for Dingley’s Promise,5310,Mr Lee Dillon,4,5310;5207;4131;5078,Mr Lee Dillon;Clive Jones;Jim Shannon;Pippa Heylings
65655,2026-04-22,no,First anniversary of Pahalgam attack,4005,Bob Blackman,2,4005;4131,Bob Blackman;Jim Shannon
65654,2026-04-22,yes,Energy Conservation,5356,Jim Allister,10,5356;5091;5161;4743;5403;4858;4320;1447;4475;5361,Jim Allister;Nigel Farage;Richard Tice;Lee Anderson;Sarah Pochin;Danny Kruger;Robert Jenrick;Andrew Rosindell;Suella Braverman;James McMurdock
65653,2026-04-22,no,Secondary school admissions and National Offer Day in Wokingham,5207,Clive Jones,4,5207;4131;5343;5078,Clive Jones;Jim Shannon;Mr Joshua Reynolds;Pippa Heylings
65652,2026-04-22,no,Sir David Attenborough’s 100th birthday and National Nature Day,5233,Lee Pitcher,4,5233;4131;5032;5179,Lee Pitcher;Jim Shannon;Tom Gordon;Kirsteen Sullivan
65651,2026-04-22,no,Visually Impaired Edinburgh,4634,Christine Jardine,4,4634;5207;4131;5078,Christine Jardine;Clive Jones;Jim Shannon;Pippa Heylings
65637,2026-04-22,no,Armadale Community Centre and AC/DC,5179,Kirsteen Sullivan,2,5179;4131,Kirsteen Sullivan;Jim Shannon
64939,2026-04-22,no,Kilmarnock Academy team crowned champions of the 10th Annual RTX Quadcopter Challenge,5043,Lillian Jones,3,5043;4131;5179,Lillian Jones;Jim Shannon;Kirsteen Sullivan
65650,2026-04-21,no,Strathcarron Hospice 45th anniversary,5309,Katrina Murray,7,5309;5155;5110;5196;4131;5179;5138,Katrina Murray;Chris Kane;Euan Stainbank;Brian Leishman;Jim Shannon;Kirsteen Sullivan;Ian Roome
